date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,et0_fao_evapotranspiration,wind_speed_100m,wind_direction_100m,time
2020-05-26,67.4303,52.988335,49.7003,66.35358,0.0,0.000613414,0.7074015,108.43504,09:00:00
2020-05-27,71.4803,51.49259,52.6703,71.13162,0.0,0.000916638,1.9112936,69.44387,09:00:00
2020-05-28,65.3603,51.627827,47.090298,63.782623,0.0,0.000372795,1.2046614,68.19853,10:00:00
2020-05-28,84.1703,34.545513,53.2103,84.11196,0.0,0.02808956,12.821347,353.9911,22:00:00
2020-05-29,60.8603,73.919785,52.4903,59.757942,0.0021497950897585725,0.000458608,8.770067,142.25313,10:00:00
2020-05-30,61.760296,69.96106,51.860302,59.76501,0.003937008,0.001068543,8.191819,145.0079,10:00:00
2020-06-02,60.6803,69.61144,50.6903,58.60664,0.0,0.00090701,7.063396,169.04597,10:00:00
2020-06-03,68.060295,53.793015,50.6903,67.54732,0.0,0.000256038,3.8291273,186.70975,10:00:00
2020-06-04,65.0903,57.656292,49.7903,64.201965,0.0,0.000272046,2.0008337,63.435013,10:00:00
2020-06-05,60.0503,74.08686,51.770298,56.85092,0.0,0.001312589,14.588602,144.3601,10:00:00
2020-06-07,54.110302,75.02197,46.3703,49.14287,0.0,0.00116437,16.441568,303.9063,11:00:00
2020-06-08,52.4003,77.19852,45.4703,50.08708,0.0,0.0,3.8225873,249.44386,10:00:00
2020-06-09,57.4403,47.507977,37.6403,53.383873,0.0,0.000831239,4.0821414,170.53775,10:00:00
2020-06-10,61.9403,68.37299,51.4103,61.82915,0.0,0.0,1.9112936,159.44388,10:00:00
2020-06-11,63.4703,71.07457,53.9303,64.0604,0.0,0.0,1.360714,170.53775,09:00:00
2020-06-15,58.5203,76.95663,51.320297,57.796227,0.0,0.0,2.1222045,161.56496,10:00:00
2020-06-16,56.000298,75.19995,48.2603,54.362816,0.0,0.0,5.217536,300.96368,10:00:00
2020-06-17,56.5403,70.09911,46.9103,55.12588,0.0,0.0,3.9828653,231.84273,09:00:00
2020-06-18,63.4703,38.7571,37.9103,58.35228,0.0,0.002670585,7.409166,118.88649,10:00:00
2020-06-19,65.810295,50.14209,46.7303,64.15079,0.0,0.000399466,3.9131517,120.963684,10:00:00
2020-06-20,59.7803,77.066574,52.5803,59.764202,0.0,0.0,2.2031894,113.962494,10:00:00
2020-06-21,61.310295,77.96334,54.380302,61.664192,0.0,0.0,3.407297,156.80138,10:00:00
2020-06-22,60.500298,80.49808,54.4703,61.233665,0.0,0.0,3.607054,119.74479,09:00:00
2020-06-23,83.630295,39.038643,56.090298,86.11574,0.0,0.028630242,9.564319,349.21573,20:00:00
2020-06-24,62.390297,78.053566,55.4603,63.650623,0.0,0.0,2.608768,120.96369,10:00:00
2020-06-25,62.9303,77.844345,55.9103,63.62193,0.0,0.0,6.109918,113.749504,10:00:00
2020-06-26,62.9303,68.9388,52.5803,61.512016,0.0,0.000939003,9.660629,137.81563,10:00:00
2020-06-26,83.2703,40.667473,56.9003,85.31032,0.0,0.028597537,11.515661,352.18478,21:00:00
2020-06-27,64.5503,79.25082,57.9803,67.08119,0.0,0.0,2.5010421,100.30479,09:00:00
2020-06-29,55.3703,77.9809,48.6203,52.222427,0.0,0.000584833,11.13343,157.5572,10:00:00
2020-06-30,63.9203,43.734474,41.4203,60.607235,0.0,0.001090062,5.4152036,128.2902,10:00:00
2020-07-01,59.2403,73.762505,50.8703,57.18692,0.0,0.000681371,8.815597,144.29323,10:00:00
2020-07-01,85.5203,23.46892,44.0303,88.01726,0.0,0.028819444,3.1635957,44.999897,21:00:00
2020-07-02,57.6203,79.218605,51.2303,53.90795,0.0,0.000984322,15.107619,152.6762,10:00:00
2020-07-03,57.710304,79.489685,51.4103,55.537434,0.0,0.000474196,10.106191,152.30061,09:00:00
2020-07-03,56.630302,81.27958,50.9603,54.600044,0.0,0.000267463,8.87218,146.3099,11:00:00
2020-07-04,61.310295,55.78629,45.3803,59.726093,0.0,0.0,1.4323789,51.34017,10:00:00
2020-07-05,64.3703,47.916084,44.2103,61.661934,0.0,0.00098539,2.4708471,185.19434,10:00:00
2020-07-05,86.600296,18.92984,39.3503,81.572845,0.0,0.0324607,17.095129,317.1211,22:00:00
2020-07-06,59.8703,59.114082,45.5603,57.8645,0.0,0.000189454,2.237,233.13002,10:00:00
2020-07-06,78.41029,30.69559,45.0203,75.65435,0.0,0.028681807,15.480621,307.36673,21:00:00
2020-07-07,55.3703,77.19709,48.3503,54.36644,0.0,0.0,2.062412,257.4712,10:00:00
2020-07-08,59.8703,78.09965,53.0303,60.240807,0.0,0.0,0.9223387,75.96373,09:00:00
2020-07-09,59.3303,69.463295,49.340298,58.663784,0.0,0.0,3.8291273,96.70974,11:00:00
2020-07-11,63.2903,56.638042,47.630302,61.99918,0.0,7.29e-05,1.5817978,44.999897,10:00:00
2020-07-12,62.1203,62.917137,49.340298,61.012306,0.0,0.000202462,2.9845302,12.99463,10:00:00
2020-07-15,61.0403,74.18199,52.7603,58.807434,0.0,0.001052257,12.319758,150.64235,10:00:00
2020-07-16,61.6703,69.719475,51.6803,60.607185,0.0,0.000470917,6.5792146,144.6887,10:00:00
2020-07-17,62.3003,75.284874,54.380302,62.61514,0.0,0.0,4.2737823,132.87889,10:00:00
2020-07-18,63.2003,71.28053,53.750298,61.362976,0.0,0.001261744,12.108763,154.85526,10:00:00
2020-07-19,61.6703,76.72494,54.2903,62.503426,0.0,0.0,0.9223387,75.96373,09:00:00
2020-07-24,62.5703,77.56044,55.4603,63.54118,0.0,0.0,3.0095758,138.01286,09:00:00
