date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
1/10/20,2:00:00,0,3.661000013,91.86299133,0,932.3435059,42.29999924,9.255571365,6.861000061,7.611000061,0.374000013,0.349999994,N
1/10/20,4:00:00,0,3.411000013,87.05575562,0,933.1813354,0,11.440979,5.460999966,7.460999966,0.372000009,0.349999994,N
1/10/20,6:00:00,0,3.760999918,82.53240204,0,934.0180054,0,12.87975216,4.910999775,7.210999966,0.370000005,0.351000011,N
1/10/20,8:00:00,0,4.011000156,70.15168762,0,934.0023804,0,13.1041975,4.660999775,6.960999966,0.368999988,0.351000011,N
1/10/20,10:00:00,0,3.661000013,61.58648682,0,934.8098145,0,7.594208241,4.160999775,6.710999966,0.367000014,0.351000011,N
1/10/20,12:00:00,0,3.960999966,58.09573746,0,936.2709351,0,4.024922371,2.010999918,6.361000061,0.365999997,0.351999998,N
1/10/20,14:00:00,0,1.56099999,68.35965729,0,936.4508057,9.300000191,4.024922371,1.610999942,5.861000061,0.36500001,0.351999998,N
1/10/20,16:00:00,0,1.360999942,71.9812851,0,936.7541504,0.900000036,6.479999542,1.81099999,5.410999775,0.363999993,0.351999998,N
1/10/20,18:00:00,0,8.961000443,48.64070129,0,939.4987183,6.900000095,2.620839357,4.960999966,5.261000156,0.361999989,0.351999998,N
1/10/20,20:00:00,0,11.76100063,44.68725967,0,938.8476563,22.5,3.319036007,8.511000633,5.660999775,0.360000014,0.351999998,N
1/10/20,22:00:00,0,12.01100063,51.84661865,0,937.8204346,24,6.489992142,10.31100082,6.361000061,0.356999993,0.351000011,N
1/11/20,0:00:00,0,10.46100044,54.46134949,0,938.0144043,26.70000076,7.100309849,10.61100006,7.011000156,0.351000011,0.349000007,N
1/11/20,2:00:00,0,6.261000156,73.70233917,0,937.328186,9.600000381,4.896529675,7.710999966,7.361000061,0.351000011,0.349000007,N
1/11/20,4:00:00,0,4.611000061,77.20217133,0,937.3813477,1.800000072,4.82990694,5.660999775,7.31099987,0.349999994,0.349000007,N
1/11/20,6:00:00,0,3.861000061,82.24930573,0,937.3369751,2.699999809,8.404285431,4.710999966,7.111000061,0.349999994,0.349000007,N
1/11/20,8:00:00,0,3.661000013,82.81681061,0,937.0020752,29.69999886,9.585739136,4.31099987,6.81099987,0.349999994,0.349000007,N
1/11/20,10:00:00,0,3.960999966,83.4512558,0,936.7276611,52.79999924,8.404285431,4.410999775,6.56099987,0.349000007,0.349000007,N
1/11/20,12:00:00,0,5.710999966,91.67036438,0.200000003,936.706665,93,6.379216194,5.210999966,6.410999775,0.354999989,0.351999998,N
1/11/20,14:00:00,0,5.511000156,97.59901428,0,937.012146,90,7.993297577,5.460999966,6.361000061,0.354999989,0.351999998,N
1/11/20,16:00:00,0,5.31099987,98.27701569,0,937.0435791,88.19999695,14.24162865,5.460999966,6.361000061,0.354000002,0.351999998,N
1/11/20,18:00:00,0,6.611000061,81.45046997,0,938.3468018,91.80000305,14.18235493,6.56099987,6.410999775,0.354000002,0.351999998,N
1/11/20,20:00:00,0,7.910999775,71.68727875,0,937.3602295,58.5,14.57888794,7.960999966,6.611000061,0.352999985,0.351999998,N
1/11/20,22:00:00,0,8.011000633,67.99533081,0,936.383667,63,11.43531322,8.861000061,7.011000156,0.351000011,0.351999998,N
1/12/20,0:00:00,0,7.511000156,70.85202026,0,936.0533447,88.19999695,9,9.061000824,7.31099987,0.351999998,0.351999998,N
1/12/20,2:00:00,0,5.011000156,93.57640076,0,935.5826416,14.39999962,6.849466801,7.511000156,7.511000156,0.351999998,0.351000011,N
1/12/20,4:00:00,0,3.81099987,96.8805542,0,935.1293335,2.699999809,6.915374279,6.011000156,7.460999966,0.351000011,0.351000011,N
1/12/20,6:00:00,0,2.960999966,89.54665375,0,934.1403809,4.200000286,7.78799057,5.011000156,7.261000156,0.351000011,0.351000011,N
1/12/20,8:00:00,0,2.56099987,91.79286194,0,934.3839111,27,9.220499039,4.361000061,6.960999966,0.351000011,0.351000011,N
1/12/20,11:00:00,0,2.010999918,97.18244934,0,934.3069458,5.699999809,7.636752605,3.911000013,6.56099987,0.349999994,0.351000011,N
1/12/20,12:00:00,0,1.411000013,94.06876373,0,933.7572021,1.799999952,3.075841427,3.31099987,6.710999966,0.351000011,0.351000011,N
1/12/20,14:00:00,0,1.661000013,86.56673431,0,934.8383789,17.10000038,2.30512476,2.911000013,6.31099987,0.351000011,0.351000011,N
1/12/20,16:00:00,0,1.911000013,86.90703583,0,934.7327881,18.89999962,6.924738407,2.911000013,5.960999966,0.349999994,0.351000011,N
1/12/20,18:00:00,0,5.861000061,68.76773834,0,936.0201416,34.20000076,9.107358932,4.960999966,5.81099987,0.349999994,0.351000011,N
1/12/20,20:00:00,0,7.81099987,56.77032852,0,934.7699585,73.5,10.49571323,7.160999775,6.011000156,0.34799999,0.351000011,N
1/12/20,22:00:00,0,7.710999966,63.69761658,0,934.1917114,55.5,11.88545322,8.261000633,6.361000061,0.347000003,0.351000011,N
1/13/20,0:00:00,0,7.111000061,68.29138184,0,933.4658203,12.30000019,6.287129879,8.811000824,6.861000061,0.342000008,0.34799999,N
1/13/20,2:00:00,0,3.960999966,90.58724213,0,933.4389648,21.29999924,6.725354195,6.611000061,7.06099987,0.340999991,0.34799999,N
1/13/20,4:00:00,0,3.460999966,99.29722595,0,933.6531982,100,8.640000343,5.511000156,6.960999966,0.340999991,0.34799999,N
1/13/20,6:00:00,0,3.010999918,100,0,933.7903442,100,9.826087952,5.011000156,6.81099987,0.340999991,0.34799999,N
1/13/20,8:00:00,0,3.56099987,92.51209259,0,933.6835938,82.79999542,10.78799343,4.761000156,6.660999775,0.340999991,0.34799999,N
1/13/20,10:00:00,0,4.511000156,91.59270477,0.100000001,933.8790894,90.59999847,8.766572952,5.011000156,6.511000156,0.342000008,0.347000003,N
1/13/20,12:00:00,0,4.361000061,98.26385498,0,934.7474365,69.29999542,6.130578995,5.011000156,6.361000061,0.342000008,0.34799999,N
1/13/20,14:00:00,0,1.010999918,100,0,933.6339722,90,5.634891033,4.06099987,6.210999966,0.342000008,0.34799999,N
1/13/20,16:00:00,0,2.06099987,98.23139954,0,934.1395874,5.399999619,7.89541626,3.361000061,5.960999966,0.342000008,0.347000003,N
1/13/20,18:00:00,0,6.660999775,73.51293182,0,936.2587891,0,8.209262848,5.511000156,5.861000061,0.342000008,0.347000003,N
