latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
36.97925,-121.96277,305.8,0.46,0.39,4/23/20,942,1,VIIRS,n,2.0NRT,284.6,0.6,N
37.4546,-121.93343,298.4,0.53,0.5,4/24/20,924,1,VIIRS,n,2.0NRT,283.4,0.5,N
37.31868,-122.08928,299.3,0.53,0.5,4/24/20,924,1,VIIRS,n,2.0NRT,286.6,0.8,N
37.18333,-121.68079,295.6,0.51,0.49,4/24/20,924,1,VIIRS,n,2.0NRT,284.6,0.8,N
37.31659,-122.09347,297.2,0.67,0.73,4/24/20,1100,1,VIIRS,n,2.0NRT,284.4,1.4,N
37.45605,-121.93355,297.3,0.48,0.65,4/25/20,906,1,VIIRS,n,2.0NRT,284.4,0.3,N
37.45305,-121.93201,300,0.38,0.59,4/25/20,1042,1,VIIRS,n,2.0NRT,284.5,0.8,N
37.31545,-122.09407,300,0.38,0.58,4/25/20,1042,1,VIIRS,n,2.0NRT,285.9,0.6,N
37.18678,-121.67973,296,0.4,0.6,4/25/20,1042,1,VIIRS,n,2.0NRT,284.5,0.7,N
37.18508,-121.67931,296.1,0.4,0.6,4/25/20,1042,1,VIIRS,n,2.0NRT,284.9,0.6,N
37.45597,-121.93064,305,0.43,0.46,4/26/20,1024,1,VIIRS,n,2.0NRT,284,0.6,N
37.31728,-122.09146,299.9,0.42,0.45,4/26/20,1024,1,VIIRS,n,2.0NRT,283,0.9,N
37.45517,-121.93232,308.3,0.41,0.37,4/27/20,1006,1,VIIRS,n,2.0NRT,283.2,1.1,N
37.31673,-122.08921,305,0.41,0.37,4/27/20,1006,1,VIIRS,n,2.0NRT,285.4,1.1,N
37.18303,-121.67883,301.4,0.42,0.38,4/27/20,1006,1,VIIRS,n,2.0NRT,281.8,0.7,N
37.18385,-121.67798,307.2,0.4,0.37,4/28/20,948,1,VIIRS,n,2.0NRT,286.3,0.7,N
37.31749,-122.09097,302.2,0.41,0.37,4/28/20,948,1,VIIRS,n,2.0NRT,287.4,1,N
37.45665,-121.93091,307,0.41,0.37,4/28/20,948,1,VIIRS,n,2.0NRT,286.3,0.7,N
37.4538,-121.93204,298.1,0.39,0.6,4/30/20,912,1,VIIRS,n,2.0NRT,284.6,0.7,N
37.45411,-121.93356,298.9,0.39,0.6,4/30/20,912,1,VIIRS,n,2.0NRT,284.4,0.3,N
37.45676,-121.9331,300.1,0.52,0.5,5/1/20,1030,1,VIIRS,n,2.0NRT,281.2,0.9,N
37.41345,-122.17496,334.6,0.41,0.61,5/1/20,2154,1,VIIRS,n,2.0NRT,296.9,2.4,D
37.21368,-121.90013,295,0.47,0.4,5/2/20,1012,1,VIIRS,n,2.0NRT,283.3,0.5,N
37.45529,-121.9328,309.2,0.39,0.36,5/3/20,954,1,VIIRS,n,2.0NRT,284,0.4,N
37.42991,-122.08253,295.1,0.39,0.36,5/3/20,954,1,VIIRS,n,2.0NRT,283.1,0.3,N
37.45557,-121.93289,298.8,0.54,0.42,5/4/20,936,1,VIIRS,n,2.0NRT,280.2,0.7,N
37.45822,-121.93127,300.6,0.32,0.55,5/5/20,918,1,VIIRS,n,2.0NRT,281.8,0.3,N
37.45478,-121.93098,302.1,0.54,0.42,5/7/20,1018,1,VIIRS,n,2.0NRT,283.4,0.8,N
37.18603,-121.6806,297.2,0.56,0.43,5/7/20,1018,1,VIIRS,n,2.0NRT,282,0.5,N
37.2135,-121.89944,298.7,0.39,0.36,5/8/20,1000,1,VIIRS,n,2.0NRT,285.4,0.5,N
