datetime,date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
1/6/20 15:00,1/6/20,15:00:00,0,2.56099987,61.31532669,0,943.0584717,0,7.28944397,3.260999918,7.011000156,0.345999986,0.354000002,N
1/6/20 18:00,1/6/20,18:00:00,0,11.46100044,42.074646,0,944.5300293,0,9.983105659,6.460999966,6.660999775,0.344999999,0.354000002,N
1/6/20 21:00,1/6/20,21:00:00,0,13.76100063,39.20320129,0,942.9007568,0,9.449571609,10.76100063,7.261000156,0.342000008,0.352999985,N
1/7/20 0:00,1/7/20,0:00:00,0,12.66100025,45.10886765,0,942.1282959,0,4.51078701,12.31100082,8.311000824,0.333999991,0.34799999,N
1/7/20 3:00,1/7/20,3:00:00,0,6.210999966,65.44873047,0,939.4158325,0,7.091177464,8.111000061,8.661000252,0.335000008,0.34799999,N
1/7/20 6:00,1/7/20,6:00:00,0,4.56099987,60.90005875,0,938.0055542,0,7.412853241,6.31099987,8.411000252,0.335000008,0.347000003,N
1/7/20 9:00,1/7/20,9:00:00,0,3.661000013,61.81587219,0,935.9971924,0,6.618519306,5.31099987,7.960999966,0.335000008,0.347000003,N
1/7/20 12:00,1/7/20,12:00:00,0,4.511000156,58.23814011,0,935.6151123,17.70000076,5.116561413,2.56099987,7.261000156,0.338,0.34799999,N
1/7/20 15:00,1/7/20,15:00:00,0,3.861000061,62.32533646,0,934.7791748,28.20000076,6.193674088,3.161000013,6.56099987,0.338,0.34799999,N
1/7/20 18:00,1/7/20,18:00:00,0,13.26100063,46.26218414,0,936.4364014,28.80000114,1.835646987,6.710999966,6.361000061,0.337000012,0.34799999,N
1/7/20 21:00,1/7/20,21:00:00,0,14.01100063,38.99357224,0,934.3577881,25.20000076,13.00492096,10.86100006,7.111000061,0.335000008,0.347000003,N
